iter	RMSE
0	17.59022955
1	17.08109983
2	16.60053586
3	16.14494043
4	15.71057842
5	15.29751083
6	14.90201547
7	14.53042156
8	14.19255243
9	13.84668711
10	13.53115654
11	13.23779299
12	12.94457285
13	12.66150514
14	12.39566387
15	12.15475664
16	11.9061925
17	11.67809055
18	11.45394693
19	11.24277464
20	11.05515699
21	10.86898194
22	10.68563621
23	10.51415987
24	10.36387985
25	10.22036367
26	10.07722631
27	9.948439632
28	9.812140536
29	9.689532931
30	9.582052972
31	9.476769478
32	9.374320421
33	9.275904752
34	9.193101571
35	9.111007603
36	9.035910293
37	8.958494528
38	8.885309152
39	8.818844206
40	8.753926697
41	8.692452565
42	8.633204082
43	8.576586602
44	8.523704332
45	8.476030565
46	8.426876409
47	8.382056714
48	8.337981745
49	8.297807993
50	8.260357766
51	8.22124103
52	8.184212109
53	8.149069139
54	8.118356158
55	8.091834893
56	8.060534713
57	8.028840303
58	7.998738602
59	7.974675319
60	7.946514971
61	7.92065481
62	7.897035834
63	7.871115313
64	7.851116527
65	7.831753486
66	7.814108834
67	7.794535979
68	7.774389113
69	7.757599215
70	7.737209032
71	7.718859011
72	7.705943805
73	7.690362276
74	7.676721377
75	7.664278289
76	7.649772879
77	7.635943239
78	7.626710718
79	7.614147571
80	7.604872396
81	7.590652272
82	7.58263864
83	7.570267522
84	7.560133581
85	7.548511589
86	7.537680837
87	7.529728731
88	7.519991434
89	7.51076702
90	7.504140272
91	7.494405891
92	7.481546948
93	7.471897331
94	7.466165439
95	7.456727247
96	7.447945207
97	7.439239846
98	7.432407058
99	7.422723449
100	7.415775308
101	7.410340853
102	7.403305538
103	7.396956614
104	7.390680212
105	7.381507114
106	7.374655764
107	7.366854037
108	7.358656786
109	7.353487172
110	7.349601995
111	7.344752891
112	7.34095464
113	7.335661668
114	7.328747108
115	7.323565772
116	7.318061955
117	7.311961664
118	7.306421888
119	7.302065635
120	7.29712311
121	7.292908376
122	7.288025857
123	7.284490118
124	7.278093846
125	7.27365012
126	7.269980609
127	7.264647012
128	7.261183607
129	7.257800898
130	7.253147508
131	7.24952243
132	7.245874939
133	7.242229064
134	7.240012412
135	7.235030619
136	7.231492745
137	7.227876614
138	7.224308534
139	7.220554365
140	7.216697022
141	7.212831969
142	7.21031575
143	7.207821752
144	7.205106606
145	7.200046325
146	7.196230101
147	7.193193231
148	7.189148481
149	7.186833833
150	7.183831311
151	7.182072786
152	7.178016007
153	7.175288882
154	7.171591486
155	7.167286517
156	7.163628728
157	7.159783512
158	7.157064861
159	7.152783828
160	7.150431244
161	7.148407063
162	7.145160604
163	7.140366106
164	7.138202731
165	7.135089826
166	7.132429965
167	7.129366251
168	7.127119419
169	7.12271827
170	7.12032137
171	7.117588227
172	7.115794307
173	7.112022854
174	7.108064694
175	7.105174422
176	7.102902301
177	7.101826526
178	7.099113812
179	7.096955564
180	7.093509402
181	7.090214178
182	7.087631986
183	7.084782027
184	7.080341604
185	7.076939477
186	7.074471061
187	7.072470606
188	7.071420196
189	7.069128878
190	7.067020163
191	7.065154198
192	7.063603679
193	7.06233164
194	7.060432824
195	7.058789865
196	7.055588622
197	7.05415627
198	7.051572688
199	7.049931933
200	7.047731328
201	7.046478783
202	7.045533917
203	7.043780934
204	7.043128514
205	7.038465493
206	7.037048082
207	7.035531973
208	7.032650787
209	7.031957026
210	7.031342585
211	7.029959729
212	7.028041415
213	7.026496553
214	7.024094176
215	7.021268348
216	7.018930809
217	7.016577403
218	7.013411273
219	7.012092645
220	7.009975241
221	7.008567084
222	7.006748689
223	7.005657741
224	7.003032284
225	7.001484877
226	6.999559991
227	6.998681839
228	6.996830379
229	6.99460997
230	6.993249341
231	6.991853391
232	6.990675044
233	6.987942568
234	6.987093122
235	6.984386141
236	6.982512046
237	6.981909973
238	6.980037786
239	6.979220655
240	6.977845544
241	6.974521369
242	6.973250549
243	6.971401838
244	6.969752504
245	6.967709763
246	6.964723852
247	6.963044633
248	6.961710861
249	6.960401403
250	6.95854698
251	6.956842105
252	6.955613237
253	6.953882051
254	6.952649172
255	6.951422393
256	6.950012982
257	6.948888903
258	6.945145276
259	6.944448825
260	6.943111583
261	6.94066504
262	6.940107275
263	6.938582649
264	6.937022192
265	6.935260368
266	6.934102436
267	6.932328342
268	6.930691978
269	6.928247436
270	6.926264965
271	6.924529861
272	6.921897143
273	6.920483147
274	6.918112925
275	6.917854105
276	6.916177208
277	6.913062757
278	6.911644146
279	6.909369317
280	6.908052725
281	6.907195086
282	6.904973333
283	6.902881776
284	6.900587855
285	6.899655629
286	6.897737836
287	6.896521963
288	6.895067091
289	6.894155079
290	6.893035463
291	6.8909909
292	6.888491728
293	6.8864577
294	6.884457027
295	6.883792672
296	6.882938194
297	6.881443558
298	6.879512825
299	6.87712444
300	6.87624936
301	6.873921585
302	6.872481628
303	6.870749079
304	6.869725848
305	6.869399186
306	6.868132452
307	6.866409081
308	6.864645442
309	6.864503965
